time,open,high,low,close,Volume,Volume MA
1757338200,6495.8,6496.65,6491.14,6492.5,94534074,NaN
1757338260,6491.78,6494.9,6491.78,6493.62,19178339,NaN
1757338320,6493.83,6494.45,6490.43,6492.75,15934731,NaN
1757338380,6492.93,6494.95,6492.46,6494.19,12468404,NaN
1757338440,6494.35,6497.02,6493.58,6497.02,11918197,NaN
1757338500,6497.14,6498.97,6496.85,6498.74,13577972,NaN
1757338560,6499.08,6500.11,6498.73,6498.73,12626561,NaN
1757338620,6498.9,6501.68,6498.66,6498.96,10394496,NaN
1757338680,6499.12,6499.67,6494.06,6494.06,10152399,NaN
1757338740,6493.73,6494.46,6491.76,6491.76,9780137,NaN
1757338800,6492.06,6496.5,6492.06,6495.94,11339593,NaN
1757338860,6495.95,6498.63,6494.6,6498.59,10532470,NaN
1757338920,6498.66,6498.66,6495.27,6496.59,10261438,NaN
1757338980,6496.72,6499.69,6496.67,6497.74,9747009,NaN
1757339040,6497.65,6497.9,6495.68,6497.07,9635953,NaN
1757339100,6497.15,6497.15,6493.27,6494.69,16183077,NaN
1757339160,6494.7,6495.21,6492.55,6493.8,10596770,NaN
1757339220,6493.37,6493.62,6491.5,6491.68,9676600,NaN
1757339280,6491.8,6496.99,6491.8,6496.75,10334690,NaN
1757339340,6496.88,6498.83,6496.36,6498.11,9799090,15933600
1757339400,6497.89,6497.89,6493.06,6493.52,10455330,11729662.8
1757339460,6493.42,6497.74,6492.77,6496.03,11187430,11330117.35
1757339520,6495.82,6496.19,6493.72,6496.02,8622230,10964492.3
1757339580,6496.21,6496.47,6493.88,6494.71,8981590,10790151.6
1757339640,6494.66,6498.52,6494.65,6498.21,8260360,10607259.75
1757339700,6498.46,6499.89,6496.86,6499.89,8443660,10350544.15
1757339760,6499.71,6500.09,6498.42,6499.06,7934560,10115944.1
1757339820,6499.2,6499.41,6497.04,6498.38,8129270,10002682.8
1757339880,6498.43,6498.56,6495.43,6495.56,8352020,9912663.85
